Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,Cluster,Segment_Name
61,116,6302,One year,Electronic Check,Yes,0,0,0,Premium Spenders
57,134,2241,Month-to-month,Electronic Check,Yes,1,0,0,Premium Spenders
5,39,3370,Month-to-month,Credit Card,Yes,0,1,1,Budget Conscious
59,95,7232,Two year,Credit Card,Yes,1,0,2,Young Professionals
62,159,446,One year,Bank Transfer,No,0,0,0,Premium Spenders
53,27,4429,Two year,Electronic Check,No,0,0,2,Young Professionals
6,198,6427,Month-to-month,Credit Card,No,1,1,1,Budget Conscious
45,199,7564,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
69,115,4730,One year,Credit Card,Yes,1,0,1,Budget Conscious
20,37,4631,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
25,184,7662,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
45,104,2541,Month-to-month,Electronic Check,No,1,0,0,Premium Spenders
3,75,3048,One year,Electronic Check,No,0,0,0,Premium Spenders
5,44,7840,One year,Credit Card,No,0,0,1,Budget Conscious
48,46,6056,Month-to-month,Bank Transfer,No,0,0,0,Premium Spenders
48,149,7690,Month-to-month,Bank Transfer,Yes,1,0,0,Premium Spenders
23,134,4413,One year,Electronic Check,No,1,0,0,Premium Spenders
48,95,1168,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
64,131,3127,Two year,Electronic Check,No,0,0,2,Young Professionals
2,158,3460,Two year,Electronic Check,No,0,0,2,Young Professionals
48,87,6197,One year,Credit Card,Yes,1,0,1,Budget Conscious
48,151,530,Two year,Credit Card,Yes,0,0,2,Young Professionals
51,83,7409,Two year,Bank Transfer,Yes,0,0,2,Young Professionals
59,183,4605,One year,Electronic Check,Yes,0,0,0,Premium Spenders
35,113,6754,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
18,53,6260,Month-to-month,Bank Transfer,Yes,0,0,0,Premium Spenders
39,146,3886,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
14,158,1718,One year,Bank Transfer,No,1,0,0,Premium Spenders
5,172,2066,One year,Bank Transfer,No,1,0,0,Premium Spenders
5,93,3720,Month-to-month,Credit Card,Yes,0,1,1,Budget Conscious
52,47,7270,Two year,Electronic Check,Yes,0,0,2,Young Professionals
54,61,1714,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
34,191,4220,One year,Bank Transfer,Yes,0,0,0,Premium Spenders
3,178,1423,Month-to-month,Credit Card,Yes,1,1,1,Budget Conscious
36,169,7102,One year,Electronic Check,No,1,0,0,Premium Spenders
10,21,4968,One year,Electronic Check,No,1,0,0,Premium Spenders
70,156,2011,Two year,Credit Card,Yes,0,0,2,Young Professionals
62,116,2103,One year,Electronic Check,No,1,0,0,Premium Spenders
14,162,325,Two year,Credit Card,Yes,0,0,2,Young Professionals
67,21,5850,Two year,Electronic Check,Yes,0,0,2,Young Professionals
8,152,499,Month-to-month,Electronic Check,No,0,1,0,Premium Spenders
29,151,1329,Month-to-month,Bank Transfer,Yes,1,0,0,Premium Spenders
30,100,3098,Month-to-month,Electronic Check,No,0,0,0,Premium Spenders
68,93,3075,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
46,76,5865,One year,Electronic Check,No,1,0,0,Premium Spenders
60,47,6373,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
61,26,3471,One year,Credit Card,No,0,0,1,Budget Conscious
52,70,5784,Two year,Electronic Check,No,0,0,2,Young Professionals
29,85,5965,Two year,Credit Card,No,0,0,2,Young Professionals
59,126,6287,One year,Credit Card,No,1,0,1,Budget Conscious
58,150,5290,One year,Credit Card,No,1,0,1,Budget Conscious
8,168,7608,Two year,Credit Card,No,0,0,2,Young Professionals
13,190,6568,Month-to-month,Electronic Check,Yes,1,0,0,Premium Spenders
50,190,6770,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
59,165,7758,One year,Electronic Check,Yes,1,0,0,Premium Spenders
15,113,6537,Two year,Electronic Check,No,1,0,2,Young Professionals
64,57,5241,One year,Electronic Check,No,0,0,0,Premium Spenders
19,192,2908,One year,Credit Card,No,1,0,1,Budget Conscious
36,67,4566,Month-to-month,Electronic Check,No,1,0,0,Premium Spenders
68,24,3316,One year,Bank Transfer,No,0,0,0,Premium Spenders
10,34,5589,Month-to-month,Credit Card,No,0,1,1,Budget Conscious
1,30,6242,Two year,Bank Transfer,No,0,0,2,Young Professionals
31,160,5208,One year,Electronic Check,Yes,1,0,0,Premium Spenders
1,186,622,Two year,Electronic Check,Yes,1,1,2,Young Professionals
53,102,7501,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
28,187,3207,One year,Electronic Check,Yes,0,0,0,Premium Spenders
49,80,3534,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
40,158,4093,One year,Electronic Check,Yes,0,0,0,Premium Spenders
56,143,6530,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
10,168,5667,One year,Electronic Check,Yes,1,1,0,Premium Spenders
63,125,6204,Month-to-month,Bank Transfer,No,0,0,0,Premium Spenders
38,59,3970,One year,Credit Card,No,0,0,1,Budget Conscious
46,37,5635,Two year,Electronic Check,No,0,0,2,Young Professionals
23,23,4012,One year,Electronic Check,Yes,1,0,0,Premium Spenders
53,146,6760,One year,Bank Transfer,Yes,1,0,0,Premium Spenders
6,115,4534,Month-to-month,Bank Transfer,Yes,1,1,0,Premium Spenders
2,194,5397,Month-to-month,Electronic Check,Yes,0,1,0,Premium Spenders
52,55,2628,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
45,187,1946,One year,Electronic Check,Yes,0,0,0,Premium Spenders
13,106,5999,Two year,Credit Card,No,1,0,2,Young Professionals
19,82,7583,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
44,24,6003,Two year,Credit Card,Yes,1,0,2,Young Professionals
14,131,903,Two year,Electronic Check,Yes,1,0,2,Young Professionals
29,117,3187,Two year,Electronic Check,Yes,1,0,2,Young Professionals
32,59,4807,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
11,160,4666,Two year,Credit Card,No,0,1,2,Young Professionals
69,58,3105,One year,Electronic Check,Yes,0,0,0,Premium Spenders
32,199,5789,Month-to-month,Electronic Check,Yes,0,0,0,Premium Spenders
13,189,6302,Two year,Bank Transfer,No,0,0,2,Young Professionals
27,147,7103,Two year,Credit Card,Yes,1,0,2,Young Professionals
50,74,7599,Month-to-month,Credit Card,No,1,0,1,Budget Conscious
66,67,6774,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
57,165,5425,Month-to-month,Credit Card,No,0,0,1,Budget Conscious
9,72,2417,Month-to-month,Electronic Check,Yes,1,1,0,Premium Spenders
66,156,677,Month-to-month,Credit Card,Yes,0,0,1,Budget Conscious
56,52,4061,One year,Electronic Check,Yes,1,0,0,Premium Spenders
44,30,4695,One year,Credit Card,Yes,1,0,1,Budget Conscious
54,123,7652,Month-to-month,Electronic Check,No,1,0,0,Premium Spenders
2,114,5468,One year,Credit Card,Yes,1,0,1,Budget Conscious
68,128,2102,Month-to-month,Electronic Check,Yes,1,0,0,Premium Spenders
22,164,2339,One year,Credit Card,No,0,0,1,Budget Conscious
50,128,6970,Month-to-month,Credit Card,Yes,1,0,1,Budget Conscious
2,49,5917,Two year,Bank Transfer,No,1,0,2,Young Professionals
46,198,2158,Month-to-month,Bank Transfer,No,0,0,0,Premium Spenders
1,185,5755,Two year,Credit Card,Yes,1,1,2,Young Professionals
27,181,4292,Month-to-month,Bank Transfer,No,1,0,0,Premium Spenders
